source,target,label
1281880,1521024,0
1088902,1422501,0
1379224,1468922,0
1682517,729005,0
1043499,44233,1
1069213,28111,1
1394935,1678071,0
115483,1435450,0
270774,403773,0
1278138,1693679,1
1008858,150351,1
1504678,491379,1
1379224,528921,0
526319,697618,0
1654636,246464,0
1466407,769493,0
240890,972795,0
1673173,1628306,1
1240995,497548,1
1661531,1692905,1
813975,918062,1
1437367,1117589,1
221169,648221,0
1248886,648808,0
261054,704013,0
101185,1348919,0
309242,524305,0
521180,593220,0
308700,486181,0
1160777,924006,1
562771,777046,0
34966,548934,1
721799,432287,1
1053576,1571739,0
1047734,676103,0
1099477,555921,1
1074016,1168967,0
85426,933344,0
417546,834401,1
99671,646711,1
1213108,364228,1
815781,374096,1
232505,521933,0
1256256,390179,0
1337123,770597,0
674691,950472,0
1168699,541509,0
1533267,667642,0
868401,759967,1
1645967,325706,1
1457127,973477,1
1603298,784560,0
137728,2588,0
1446149,1243771,1
1468922,1528719,0
484718,636504,0
519530,808510,0
363706,1599542,1
392156,541509,1
1498604,1653038,0
924274,798081,1
137746,1173955,1
1522296,716443,1
1158029,91497,1
180317,283012,1
1160777,181955,1
1695836,276629,0
1362905,156993,0
1150171,169951,0
990143,275423,1
1292528,403773,0
810357,886600,1
1266931,1673978,0
1200243,430071,1
1327408,913779,1
582113,802033,0
1692715,620443,0
913821,1461328,1
397395,1269896,1
1111284,760040,1
634644,1396093,1
138875,476368,0
1684222,958798,1
482090,811524,0
1337021,375671,1
1016484,1269896,0
1064428,1403183,0
800387,1630741,1
1607309,288675,0
1073123,1512375,0
1028042,94685,0
212125,733488,1
874713,997981,0
902173,187488,1
1087952,1469784,0
416787,501544,0
141556,1654606,0
1600099,429272,1
1209106,523401,0
517543,1632431,1
1365137,837040,0
860226,890861,0
1372747,675673,0
558218,127424,1
1473375,505498,1
1116378,531855,0
1282224,844630,1
1405698,776283,1
960114,1216169,1
511707,1647594,1
1498604,1508871,0
112172,1177276,1
1328910,1403183,0
1263783,1543174,0
395677,783907,0
1180133,844212,1
387783,279121,1
1393601,1407925,0
1359310,1627572,1
894169,1474170,1
577677,840113,0
1189453,590426,0
1152792,651449,1
297540,616822,0
1015414,401109,0
1178301,321354,0
221169,756960,0
1650436,664132,0
908810,959487,1
1372817,454808,0
1079427,336941,0
253058,625384,1
1531103,55638,1
557970,464213,1
1205076,1629472,0
1138674,685046,1
1616560,217349,1
114488,1240000,0
1554157,498516,0
1480751,366921,0
1043457,1562719,0
1043499,1122737,0
1073520,923756,1
113726,1326148,0
567491,888498,0
874260,1695072,1
808745,1304884,1
1181406,636490,1
180931,743167,1
1180133,453867,1
1500428,1430384,1
332236,702501,0
1483348,909564,0
378590,1396217,1
963405,977532,0
330664,1461453,1
1240759,482090,0
1616775,114215,1
1681562,344592,0
890874,261561,1
1389088,430011,0
1228465,861476,0
1213961,44344,0
1519734,40948,0
1385286,849417,0
555676,467508,1
1527271,355873,0
69235,862279,0
718743,464926,1
710239,281753,1
1447717,837943,0
1356321,696990,0
211129,614484,0
1692469,386161,0
1603848,1328202,1
1285001,599635,0
650569,823324,0
164259,552904,1
188085,1429231,1
1399763,1302518,1
28111,521257,0
633734,1652753,1
1021640,239868,0
313333,505357,0
1194948,1578433,0
1193060,1274173,0
1195612,1143613,1
1481878,1554229,0
254398,707074,0
1166626,1093238,1
1213728,493243,0
558474,1159123,1
1356398,164501,1
153583,464844,0
1269248,1387862,1
887462,261561,1
1064311,1635688,0
1556999,209979,0
1116961,799381,0
774249,772858,1
442964,953298,1
1625862,383128,0
834224,1181406,1
1256351,1621421,0
1349187,1367253,1
1390814,1598327,1
168043,330987,1
117310,1628970,0
367509,423392,0
572221,472848,1
1168699,1034798,1
478641,1566300,1
1357909,1369265,0
325726,304653,1
862572,1024753,1
1071436,909157,0
1014021,547159,0
405514,896968,0
1070672,1074016,1
1002523,1228465,0
524498,712959,0
1145785,662340,0
1384027,1228201,1
1397479,585058,0
539472,650863,0
1266944,564331,0
1629472,950472,0
1073520,1124583,1
660660,329709,1
1088613,457301,0
800658,1659183,1
47791,739791,0
146959,1654457,1
1406734,332690,0
1524589,582895,0
482319,768820,1
1037800,1524625,0
436249,538016,0
393163,827659,1
1155212,807866,1
1030556,968049,0
218678,299560,1
475667,1337021,1
354249,56024,0
70786,854216,1
1262943,1035836,1
71706,383683,1
1555386,562363,1
1237251,1429126,0
299175,1649623,1
533507,1096291,1
1636595,1015414,1
475667,1166509,1
1465803,254434,0
1651345,171145,0
1105318,1195815,1
1430384,622872,0
450866,718315,0
1129548,1496033,0
548480,1345814,1
470020,82225,1
1476273,1599099,0
105103,486181,0
1235801,160037,0
575509,947232,1
1423461,15745,1
251386,1262943,1
398624,525521,1
1172405,141668,0
968355,551801,1
1351693,1432872,0
401109,56024,1
1176775,871690,1
780981,1034626,1
107907,1586358,0
1444778,472266,0
1179690,1405698,1
575109,922120,0
161821,621286,1
1115327,33774,1
137383,1383793,1
630878,1105318,1
1168057,1378398,0
1667495,1708337,0
1529270,346483,1
1180133,746295,0
1420556,1403074,1
705564,899680,0
1091337,34966,0
1221327,135151,0
890874,153592,1
1614790,1576924,1
1431592,853760,0
1136011,893481,1
119305,793311,1
1661720,1688345,0
1115327,1493071,1
373580,12768,1
499433,806386,1
1658778,664250,0
592890,697410,0
154817,1647594,0
1378584,1056927,1
839537,866151,0
1075559,593145,0
444580,595066,0
145625,290326,1
1503969,1061643,1
333587,703088,1
1656634,522392,0
161784,748051,1
534318,947485,0
1645414,988682,0
1183494,589767,1
388726,513631,1
1096316,125534,0
1010080,228552,0
264641,221169,1
1604678,743428,0
796775,515223,1
1131892,1175335,0
386928,397442,0
1652753,691107,1
113726,576472,0
678845,738236,0
1141591,833518,1
657584,847801,1
107510,1504678,1
1104216,783256,0
148825,1661674,0
1351693,633690,0
900171,1471123,1
1572421,1673671,0
193839,1623385,1
1663980,551506,1
1500428,1567063,1
398288,577367,0
560243,593145,0
1701254,62731,0
659365,856104,1
1262943,878954,0
330621,1603042,1
1510679,1368108,1
486182,528089,1
338955,497712,1
821806,1169643,1
62478,808745,0
1445313,464921,1
1447843,274002,0
1554229,1687181,0
1419406,330987,1
879646,1395378,1
148887,98885,1
1174814,1518063,0
592314,551506,1
160037,675673,0
1468486,204693,0
1628306,831965,1
403486,775369,0
330664,246853,1
1631492,665739,1
946519,580082,1
116755,830786,1
1654723,385675,0
1556430,1151981,1
141744,195969,0
447682,1032906,1
151882,180517,0
548480,1695836,1
560609,1122574,1
1171982,1237044,1
1527640,356971,1
470020,546855,1
1133319,206745,1
1416320,735677,0
1153844,1612623,0
461791,700981,0
1178856,1653896,0
1711965,943198,0
1184327,128558,0
212125,564586,1
1678791,985559,0
808494,1267052,1
554379,363100,1
1125194,40568,0
679424,1043833,1
1646842,516898,0
1368949,551506,0
1666004,1500404,1
412129,750212,0
1679924,802292,0
61008,733570,0
135151,457428,0
1639054,464009,0
1567545,810861,0
1691928,856722,0
1572421,1708337,0
245052,47309,0
584129,23517,1
1025967,1256284,1
398624,1149206,1
22052,537310,1
355494,841540,1
1273833,922931,1
303079,971141,1
28578,1243771,1
387634,729775,1
1618245,807442,1
1496206,1297467,1
1361489,1586358,0
566026,521933,1
1245773,973262,0
1636585,866151,1
1524237,1568669,0
1660934,791307,0
1160736,1206102,0
894169,584379,1
330621,1326107,1
1068625,1667211,0
1631779,1232303,1
52397,1533267,1
1650436,27746,0
379494,973435,1
1285516,127271,1
329709,1178137,1
1461328,748221,0
309862,1188303,1
651576,842586,1
1292528,248411,0
944801,903912,1
937150,589559,1
1156448,80910,0
1666028,596457,0
1115327,1070358,1
746337,880075,1
432063,768963,1
1477254,863794,0
467508,525521,1
1122875,30286,0
103700,376612,1
660660,1237420,1
114381,807866,1
1225932,496390,0
212125,1070672,1
1064428,179662,0
40605,576172,1
241424,993818,0
1100249,690059,0
354605,1356181,1
299960,1512588,1
344966,1613879,1
282818,710637,0
398624,59461,1
813975,802642,1
1205990,1556388,0
1082264,860226,0
214462,915066,0
1592515,160037,1
1176166,63797,0
1356873,618216,0
700981,990224,0
847706,1481807,1
723262,1157198,1
1100358,777228,0
1068377,1063826,1
1448009,278380,1
1649623,202172,0
1511881,427265,0
1491175,380597,0
388726,1005991,1
1043457,1141805,0
1331825,1351669,0
1007956,1154042,0
488967,62953,0
727423,853337,0
1246853,56024,1
325726,1144988,1
1273533,991973,0
419761,1106379,1
281753,30496,0
768820,1592515,1
574580,896831,1
676103,782428,1
107265,831322,1
289108,326469,0
276542,45460,0
1274371,1194948,1
429955,113255,1
1181406,524854,0
239175,1141334,1
1260118,175533,0
1322052,1612031,0
1534730,542661,0
895308,245642,1
42170,1345575,1
1098798,957260,0
1076833,586335,0
863951,511387,1
168088,1636973,1
42170,271134,1
149217,95684,0
890192,754408,1
1524880,201002,1
357725,393384,0
833930,655972,1
1008740,665451,1
1253152,791884,0
107907,1496879,0
390590,922931,0
103675,1573753,1
1297252,304033,1
339168,391884,0
122230,1232370,0
1302943,1344336,0
1284858,183673,0
891971,1645414,1
829322,636504,1
1174238,393173,0
1430384,1443827,0
909157,647819,1
369969,1508480,1
303079,1295685,1
1164923,777162,0
1694477,1391963,1
325706,890861,0
1081480,1572421,0
680511,706155,1
321405,702007,1
408727,285685,1
20117,742719,0
365030,516383,0
414586,922931,1
1639054,533507,0
1421948,24004,0
189033,550118,0
509999,606945,1
54468,634002,0
829096,860491,0
330664,806386,0
352417,363100,1
1094322,862279,0
218190,860226,0
1670380,291661,1
1387239,864027,0
397442,398624,0
1565433,428495,0
55827,1657793,1
126430,606945,0
422066,692052,0
62931,997981,0
212125,913206,1
520721,1664320,1
574580,622515,0
904209,1238860,1
1669536,480762,1
76494,97253,0
51375,69641,1
147776,698704,1
554379,944801,1
375671,170084,1
1579025,562771,1
850187,374096,1
1194948,1341144,0
392156,1312097,1
1631779,68383,1
812075,953932,0
205876,434002,0
1016904,592122,0
1532616,1657793,1
23821,680511,1
744495,658890,1
630878,969577,1
327158,727132,0
535973,917886,0
1670156,1616033,1
1419406,1574975,1
868401,107907,1
1336157,580082,0
363100,946503,0
119002,614577,0
1632431,511707,0
1470730,829096,0
141217,462154,0
1153844,1378398,1
1417078,1476007,0
1581397,1620120,0
142514,1087689,1
1462866,871956,0
1157576,264244,0
1030556,706155,1
1433305,651449,1
1233651,906565,0
554379,1073456,1
651576,896346,0
1340324,1661531,0
79891,1339232,1
1258611,308258,0
1227585,564647,1
776661,140972,1
1002523,954312,0
392383,420133,0
1386512,1449274,1
379494,880075,1
922970,480139,1
935190,991043,1
697618,931251,1
1183494,378590,1
1535378,156581,1
1235384,891971,1
862108,420133,1
330621,1043831,1
309862,1349187,1
1606516,752847,0
1047522,338955,0
1444447,59275,0
1397479,558218,0
580082,1566014,1
1103074,57778,0
555520,1556999,1
1329719,314199,0
959703,1139958,1
1684222,354605,1
528740,991166,0
734717,579282,1
183555,836444,0
171145,464391,0
1181406,1411487,1
1584812,56024,1
1181506,755103,0
1330473,464009,0
388726,677026,1
1508871,1269896,1
1034494,270774,0
56943,984945,0
1103935,532535,1
532535,1533767,1
154199,795268,1
1253076,1297485,0
535973,928042,1
230555,842586,0
1654405,852307,0
1152733,906486,0
1080776,489949,0
762471,875987,0
1228675,636504,1
1196712,537399,0
1359123,841540,1
60206,148019,1
572221,987354,1
148887,556755,1
325726,463454,1
1305724,8591,0
849910,858121,0
325726,724484,1
1263543,58142,0
241424,690405,0
796775,909157,1
216279,329476,0
23685,980862,0
338955,525964,0
392156,59312,0
571222,709873,0
511634,1082514,1
1606825,33262,0
244383,67435,0
785257,232505,1
1242475,264601,0
1496033,411444,0
1228675,503536,1
1228675,556755,1
1405698,1378584,1
437886,1370353,1
150351,289189,0
387783,356585,1
1012676,1636747,0
566838,70446,1
210268,1145811,1
1266372,387783,0
1623030,1299468,1
520458,577677,0
821475,823829,0
1619920,521257,0
168554,828011,0
946519,1378806,1
361437,73087,0
1426676,264641,0
1257825,308080,1
761338,1195441,1
325134,724264,0
13815,15567,0
1014020,1565604,0
187488,1349621,1
1393671,61997,1
1109019,1598104,0
210003,373580,1
1262350,288517,0
1632323,595066,1
651449,271134,1
299362,584129,1
538142,866151,0
330621,892008,1
1237420,1302587,0
1424518,768963,0
330621,112104,1
1298418,914228,0
1025967,1043499,1
1337030,779751,0
122121,956128,1
218566,68353,0
680359,897407,0
92756,1489710,1
31361,283012,1
69120,259931,1
1127990,768826,0
1469784,1663980,0
227362,1017249,1
1618338,292924,0
1388085,1371519,1
259149,728524,0
1299426,364228,0
1424649,55638,0
581286,500256,1
1672743,512915,0
428920,968994,0
712959,467778,1
1179756,379392,0
1644992,808416,1
721059,482934,1
105000,704845,1
254959,310144,0
1425266,206745,0
379494,381113,1
904209,941485,1
373954,788454,0
1533767,954963,0
408727,1093842,1
1616775,746834,1
497389,88837,0
541801,837040,0
1411487,991490,0
1070841,379599,0
145469,595438,0
1166626,760110,1
1184178,511707,1
1218808,422319,0
97576,1253076,1
986596,535819,1
1180133,417943,1
494523,821966,0
520672,410467,1
1432489,1443791,1
442964,1167077,1
1387239,304033,0
709475,1131958,1
352417,944801,1
908810,989319,0
1260118,678758,0
442833,764668,0
1113977,516492,0
1404549,745340,0
1184339,1410923,1
1460934,428495,0
61008,646711,0
1267976,45221,0
483877,517543,0
136190,429836,0
1269308,1197237,1
1700221,1328202,1
723262,823829,0
309862,1556999,1
1340324,1498604,0
8591,655972,1
1077010,805240,0
1117361,145625,1
852307,1359765,1
437765,77993,1
330621,324235,1
1304785,383479,0
1043702,992959,0
1160029,1631659,0
1285266,1430489,0
210003,1636668,1
1541064,827627,0
113255,1473502,0
610610,827488,1
1083876,631410,0
1266822,562842,1
1048570,1293017,0
660400,784560,0
13815,875750,0
610610,874509,1
1213961,1522037,0
243568,349794,0
23821,819310,0
1512460,1242475,1
666140,995478,0
522217,1218476,1
321405,1073123,1
733488,1435593,1
1636614,656324,0
589978,80910,0
98746,185432,1
1400708,249863,0
779751,864043,0
1152733,1165966,0
955392,459446,1
940124,1616775,1
303213,337675,0
1245364,494651,0
1006298,783467,0
212125,866971,1
1419406,868401,1
864779,782119,1
1316566,1473051,0
1666268,648555,0
1302943,465127,1
279121,601263,0
175533,427637,0
1028042,738236,0
231214,1573558,1
1374516,119002,1
1479371,368616,1
1614790,481414,1
1460934,1579025,0
728933,866812,0
288675,1641642,1
321663,390590,0
1272054,218678,1
344623,954963,0
1067683,264587,0
1143908,1228823,1
866151,319459,1
1016727,607404,0
1596509,764668,1
1405698,535474,1
1115327,99255,1
61802,1644992,1
814961,251447,1
148297,334546,0
1180133,1673173,1
596110,991396,0
1025967,1445947,1
1692469,585814,1
1143908,474309,1
1000919,310144,0
156609,1281880,1
513631,663103,1
1014873,6410,0
1661717,138875,1
103771,510435,1
1396214,21597,1
1572145,1603624,0
330621,1048570,1
1265299,1578178,1
1356321,800658,0
216279,92797,1
1016830,1555106,0
834224,1221915,1
1345575,1351089,0
1348919,761869,0
